variantId,parentFixtureId,split,dataMode,strategy,selectionStatus,candidateSetSignature,candidateCount,selectedCandidateId,actionKinds,feasibility,hardConstraintViolation,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,stopCountImbalance,recipientMinimumBudget,recommendationScore,reasonCodes
frozen-scenario-rain-hill-longshift-v1-remaining-weight-plus-10pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,719e020c,5,candidate-ea88cc6f,TRANSFER_STOPS,FEASIBLE,false,29.770329,35.671363,5.901034,AVOIDED,-13,9,49.007657,-0.510228,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-rain-plus-2mmh-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,07d793e7,5,candidate-a7f234f6,TRANSFER_STOPS,INFEASIBLE,true,29.656567,47.592431,17.935864,AVOIDED,-37,7,40.175831,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-rain-plus-2mmh-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,07d793e7,5,candidate-bb6eb2de,TRANSFER_STOPS,INFEASIBLE,true,29.656567,41.532875,11.876308,AVOIDED,-25,1,44.748872,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-rain-plus-2mmh-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,07d793e7,5,candidate-f1dd026a,TRANSFER_STOPS,FEASIBLE,false,29.656567,35.384836,5.728269,AVOIDED,-13,9,48.885261,-0.920565,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-visibility-minus-20pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,86b995c7,5,candidate-70f8dc55,TRANSFER_STOPS,INFEASIBLE,true,29.914456,47.750764,17.836308,AVOIDED,-37,7,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-visibility-minus-20pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,86b995c7,5,candidate-ea3e4ded,TRANSFER_STOPS,FEASIBLE,false,29.914456,41.817875,11.903419,AVOIDED,-25,1,45.012761,3.14591,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-visibility-minus-20pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,86b995c7,5,candidate-63889b33,REST|TRANSFER_STOPS,FEASIBLE,false,29.914456,47.186417,17.271961,AVOIDED,-15,1,45.012761,10.09348,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-uphill-plus-2pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,daff8b7f,5,candidate-7b393f45,TRANSFER_STOPS,INFEASIBLE,true,29.733483,47.698333,17.96485,AVOIDED,-37,7,40.438886,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-uphill-plus-2pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,daff8b7f,5,candidate-f9f2a87d,TRANSFER_STOPS,INFEASIBLE,true,29.733483,41.7235,11.990017,AVOIDED,-25,1,44.927692,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
frozen-scenario-rain-hill-longshift-v1-uphill-plus-2pct-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,daff8b7f,5,candidate-5c8e1df1,TRANSFER_STOPS,FEASIBLE,false,29.733483,35.659558,5.926075,AVOIDED,-13,9,48.979358,-0.496792,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-rain-hill-longshift-v1-incident-factor-plus-005-v1,scenario-rain-hill-longshift-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,a298181f,5,candidate-a391f967,TRANSFER_STOPS,INFEASIBLE,true,29.857789,47.734097,17.876308,AVOIDED,-37,7,40.526386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
