variantId,parentFixtureId,split,dataMode,strategy,selectionStatus,candidateSetSignature,candidateCount,selectedCandidateId,actionKinds,feasibility,hardConstraintViolation,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,stopCountImbalance,recipientMinimumBudget,recommendationScore,reasonCodes
frozen-scenario-night-novice-area-v1-shift-plus-60m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,bfab0af8,5,candidate-5c7b7312,REORDER_STOPS,INFEASIBLE,true,29.810894,29.863044,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-shift-plus-60m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,bfab0af8,5,candidate-ab7c3c6d,REST,FEASIBLE,false,29.810894,34.424228,4.613334,AVOIDED,10,8,,-5.81111,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-continuous-plus-15m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,a98e1fc1,5,candidate-cf06e0a7,REORDER_STOPS,INFEASIBLE,true,29.820894,29.873044,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-continuous-plus-15m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,a98e1fc1,5,candidate-cf06e0a7,REORDER_STOPS,INFEASIBLE,true,29.820894,29.873044,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-continuous-plus-15m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,a98e1fc1,5,candidate-5e181fa2,REST,FEASIBLE,false,29.820894,34.650894,4.83,AVOIDED,10,8,,-5.45,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-continuous-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,ed7c61de,5,candidate-f54e561e,REORDER_STOPS,INFEASIBLE,true,29.670894,29.723044,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-continuous-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,ed7c61de,5,candidate-f54e561e,REORDER_STOPS,INFEASIBLE,true,29.670894,29.723044,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-continuous-plus-30m-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,ed7c61de,5,candidate-abb6cb6f,REST,FEASIBLE,false,29.670894,34.650894,4.98,AVOIDED,10,8,,-5.2,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-remaining-weight-plus-10pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,ba643ba4,5,candidate-14248688,REORDER_STOPS,INFEASIBLE,true,29.927714,29.980704,0.05299,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-remaining-weight-plus-10pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,ba643ba4,5,candidate-14248688,REORDER_STOPS,INFEASIBLE,true,29.927714,29.980704,0.05299,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-remaining-weight-plus-10pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,ba643ba4,5,candidate-2471b5bd,REST,FEASIBLE,false,29.927714,34.607714,4.68,AVOIDED,10,8,,-5.7,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-rain-plus-2mmh-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,151eecba,5,candidate-e959cd8b,REORDER_STOPS,INFEASIBLE,true,29.764228,29.816378,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-rain-plus-2mmh-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,151eecba,5,candidate-e959cd8b,REORDER_STOPS,INFEASIBLE,true,29.764228,29.816378,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-rain-plus-2mmh-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,151eecba,5,candidate-4806febc,REST,FEASIBLE,false,29.764228,34.444228,4.68,AVOIDED,10,8,,-5.7,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-visibility-minus-20pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,7fee5113,5,candidate-8b4f7cbc,REORDER_STOPS,FEASIBLE,false,29.970894,30.023044,0.05215,AVOIDED,0,8,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-visibility-minus-20pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,7fee5113,5,candidate-8b4f7cbc,REORDER_STOPS,FEASIBLE,false,29.970894,30.023044,0.05215,AVOIDED,0,8,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-visibility-minus-20pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,7fee5113,5,candidate-5e3ea1e7,REST,FEASIBLE,false,29.970894,34.650894,4.68,AVOIDED,10,8,,-5.7,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-uphill-plus-2pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,1b862dfb,5,candidate-8dd72a40,REORDER_STOPS,INFEASIBLE,true,29.859783,29.911933,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-uphill-plus-2pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,1b862dfb,5,candidate-8dd72a40,REORDER_STOPS,INFEASIBLE,true,29.859783,29.911933,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-uphill-plus-2pct-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,1b862dfb,5,candidate-ebda73c7,REST,FEASIBLE,false,29.859783,34.539783,4.68,AVOIDED,10,8,,-5.7,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-incident-factor-plus-005-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,23973995,5,candidate-a01abee2,REORDER_STOPS,INFEASIBLE,true,29.944228,29.996378,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-incident-factor-plus-005-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,23973995,5,candidate-a01abee2,REORDER_STOPS,INFEASIBLE,true,29.944228,29.996378,0.05215,UNCHANGED,0,8,,,BREACH_REMAINS_PREDICTED
frozen-scenario-night-novice-area-v1-incident-factor-plus-005-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,23973995,5,candidate-c53012ad,REST,FEASIBLE,false,29.944228,34.624228,4.68,AVOIDED,10,8,,-5.7,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-self-check-missing-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,FASTEST_ONLY,SELECTED,5994fca2,5,candidate-c36d2ba9,REORDER_STOPS,FEASIBLE,false,30.390894,30.443044,0.05215,UNCHANGED,0,8,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-self-check-missing-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,BALANCED_ONLY,SELECTED,5994fca2,5,candidate-c36d2ba9,REORDER_STOPS,FEASIBLE,false,30.390894,30.443044,0.05215,UNCHANGED,0,8,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
frozen-scenario-night-novice-area-v1-self-check-missing-v1,scenario-night-novice-area-v1,FROZEN_TEST,MOCK,SAFEROUTE,SELECTED,5994fca2,5,candidate-a5e1e3f2,REST,FEASIBLE,false,30.390894,35.070894,4.68,UNCHANGED,10,8,,-5.7,CONSENT_REQUIRED_BEFORE_APPLY
