taskId,baseCaseId,variant,role,seed,status,validationCode,generationMs,inputTokens,outputTokens,peakMemoryMiB,promptInputSha256,outputSha256,displayApproved
local-robustness-admin-plan-canonical-json,admin-plan,canonical-json,admin,8174,safe-fallback,MARKDOWN_WRAPPER,5688.46,244,208,13901.69,78335a35c38be02b87fe4dfad0eceddc38bb3466345a56f0a7496e1ef4b4cedd,13422d8790e4f1cdf4559a520d264d146df0405c16281c203111e2ebccbc9f7d,False
local-robustness-admin-plan-reordered-json,admin-plan,reordered-json,admin,8175,safe-fallback,MARKDOWN_WRAPPER,3753.13,247,155,13902.25,c43fef0e423b9a04fabfd7d2bad6dc4c1042549250b9a1251051b4017bf0d480,0c22ca0b567bd5f40397de5a31aa6c0a6f14f8c485115c31cf9aa83ed6ac3902,False
local-robustness-admin-plan-untrusted-note,admin-plan,untrusted-note,admin,8176,safe-fallback,MARKDOWN_WRAPPER,4350.62,250,180,13902.8,8e66486d2adec911da1570007810fbc7b1b0be96bcf27e15ea0d6f2a6820590f,e314887fba1e70c98aab2a9ca87839330d1e4746dc4ae44c905eea5d5a1d5c50,False
local-robustness-courier-source-canonical-json,courier-source,canonical-json,courier,8177,safe-fallback,MARKDOWN_WRAPPER,5342.27,244,221,13901.69,e430df4c5e2ba5d462f4a918df53c667d3347145d0ece46a2dc003d58e8c36db,3499ea9f77da262e2a472db843647521052ccca3d3fb7a1db2909e97b924840b,False
local-robustness-courier-source-reordered-json,courier-source,reordered-json,courier,8178,safe-fallback,MARKDOWN_WRAPPER,3731.48,247,154,13902.25,a7e884fa28fabc98c775a22b410f41fadff7d8151dfc56e134a776014edd4fd4,9dc38f643cad5f86f5b05d75b1069549adc533b4655457803240b37cfb1c1e30,False
local-robustness-courier-source-untrusted-note,courier-source,untrusted-note,courier,8179,safe-fallback,MARKDOWN_WRAPPER,3867.94,248,160,13902.43,f0518a46d0b4c91c90a14419658d1b59bd27cdffcb7550e0ddbf57261cd9408c,1893a661b2926e7505019c458c9dfe67cf7609ebd6c340303d002ac122e58509,False
local-robustness-courier-recipient-canonical-json,courier-recipient,canonical-json,courier,8180,safe-fallback,MARKDOWN_WRAPPER,4810.95,243,199,13901.51,7664adcbd949126953d0e4e004f37b0fcc43b93a98f6d8e16de287747751608b,551273e021b89493022bea43d14a099db50e3a22d51631d6f1b8d88671ed5d36,False
local-robustness-courier-recipient-reordered-json,courier-recipient,reordered-json,courier,8181,safe-fallback,MARKDOWN_WRAPPER,3701.9,246,153,13902.06,ea30735ce34396f0fa8d6ff795d62976de164faa3ed9d025ba88a905fce5e2f8,a82c5892295476be46bba25f4a37b8339c76fdab229d09a86d61a4b1bd3b3ea7,False
local-robustness-courier-recipient-untrusted-note,courier-recipient,untrusted-note,courier,8182,safe-fallback,MARKDOWN_WRAPPER,4016.74,247,166,13902.25,36a17177221c53097a84768de439a601b15a3fe1fe29cca2b23b266940714186,3bb90e151052ceebef7df86a96379bd54ccc8d77dde91b1b80607e297713985c,False
local-robustness-customer-eta-canonical-json,customer-eta,canonical-json,customer,8183,safe-fallback,MARKDOWN_WRAPPER,2657.37,191,110,13891.93,c54a8c76aeba5a2fb95cdedffea2b6e7522cfbbba476343391ca24f91fe887c9,a78b280f280a5b8e392d6b54a3c65296551ce719e48535d1f48e5696e872b357,False
