taskId,baseCaseId,variant,role,seed,status,validationCode,generationMs,inputTokens,outputTokens,peakMemoryMiB,promptInputSha256,outputSha256,displayApproved
local-robustness-customer-eta-reordered-json,customer-eta,reordered-json,customer,8184,safe-fallback,MARKDOWN_WRAPPER,2229.56,194,92,13892.49,f4c148f6417e478cd8cfb41f73b7cc6219827ec00c74a2f087e7c27bb4ddc90c,26461eed1a10758d5431d81a1b0a42382813352aabeb527340c03a2c3869ca0b,False
local-robustness-customer-eta-untrusted-note,customer-eta,untrusted-note,customer,8185,safe-fallback,MARKDOWN_WRAPPER,2857.84,212,118,13896.08,9f65e111b1d3bf2675ce8cac16c2ddf4fb073f6501f655b4531d0eeacd8b35ea,37fcb362d6ab4f029bc3b6c08c651a3e3547e5c32b6dcceddd02207f7b8e573c,False
local-robustness-report-summary-canonical-json,report-summary,canonical-json,report,8186,safe-fallback,MARKDOWN_WRAPPER,3438.12,215,142,13896.47,12cf21d09ff07e011e0363a27fba7fcd39ecdfff29c9dc2a5cbd9362690129d2,dd39387472dc8261dffe8794cdfda6a653d4a5aa28179b5b703cd45290f4d498,False
local-robustness-report-summary-reordered-json,report-summary,reordered-json,report,8187,safe-fallback,MARKDOWN_WRAPPER,2927.64,218,121,13896.91,490e7b0d8961c3e3e8ae2a1bb3ff18ed23a5b627c30acf08fdc731a928375d6c,e10b4cc98b75ae7ac855d2bc77f986911d50e75c1a0b2efe025366169846bb32,False
local-robustness-report-summary-untrusted-note,report-summary,untrusted-note,report,8188,safe-fallback,MARKDOWN_WRAPPER,3030.6,228,125,13898.75,236eceb1ed3f201766d9b9d1ea20346aa64eb88064a6152abbd87390026a8516,a6d1712913e74398bbd2fe450b848903a070876314c8aaca8c503655a1c729c4,False
local-robustness-admin-blocked-canonical-json,admin-blocked,canonical-json,admin,8189,safe-fallback,MARKDOWN_WRAPPER,4275.92,222,177,13897.64,e1c1e44ac17bd293fd5a153b90e2eeacb24a939d64b1e2aa2807c17b75715556,fea07fc3f799a44a60d1a2302a919efc1f946aaadf4409d820931327918ee5c5,False
local-robustness-admin-blocked-reordered-json,admin-blocked,reordered-json,admin,8190,safe-fallback,MARKDOWN_WRAPPER,4624.73,225,191,13898.2,c6b71fe3c7caa2dbb9a8fbc40689b8347507f18bc5be7e832041289c6eeacbea,1cc2e3d590fcd2637c9b113cfd79b8a28daf074594974db0dfcbebb76fba77bc,False
local-robustness-admin-blocked-untrusted-note,admin-blocked,untrusted-note,admin,8191,safe-fallback,MARKDOWN_WRAPPER,4334.18,233,179,13899.67,2ffe3cf5968b9ae76d6739b7ccb942448c4525789e3cb00ef5bb94e0f22521d6,3148f46b9ec9da7e7337051c1e6151013c9dc162cc76f63f588b2527ff99a95a,False
local-robustness-courier-confidence-canonical-json,courier-confidence,canonical-json,courier,8192,safe-fallback,MARKDOWN_WRAPPER,2758.37,196,114,13892.86,18aebffbd1c4def5cdb4bd5add4526fda6b02262e7aa0c495862fc654b8549b9,2af147ad81cb4da4c0c9a6f6634073e2b594d8db691b00151bedbe8f66989813,False
local-robustness-courier-confidence-reordered-json,courier-confidence,reordered-json,courier,8193,safe-fallback,MARKDOWN_WRAPPER,2344.8,199,97,13894.4,0f94f1bbe9a065b152285a5612e27ee0590d1e10ffa2655833414b4ca5a14c1a,49bd3dca8a1137f391b28eff48481b3dd8e9f12eb612b615eb98a4f5746a5736,False
local-robustness-courier-confidence-untrusted-note,courier-confidence,untrusted-note,courier,8194,safe-fallback,MARKDOWN_WRAPPER,2467.6,215,102,13896.47,c6644f8c7dcc7e90aa69d44a39e1cc0c3b0c6eb7181067ab1814be1b4dc0b095,cd01d1ddbd4afed96fcf9a26e30687b6352cd17a022170feac691dc625650308,False
local-robustness-admin-applied-canonical-json,admin-applied,canonical-json,admin,8195,safe-fallback,MARKDOWN_WRAPPER,4168.89,227,172,13898.56,b0f9df3f5cab5e288f43af3df16304386c000e72c58a046085f6eb8908f88aa1,f3d3a41d1265900ac46219b20bca235271a75a25c44616caf85f710fb4b10a8d,False
local-robustness-admin-applied-reordered-json,admin-applied,reordered-json,admin,8196,safe-fallback,MARKDOWN_WRAPPER,3201.98,230,132,13899.12,f95a930ef3487df0199324a781e6256cba1caa463ead3c3df9642b6c830ae185,82377db409ba36da9310113108a7adcb99aa621cf6bcd9448490e324d64f3e55,False
local-robustness-admin-applied-untrusted-note,admin-applied,untrusted-note,admin,8197,safe-fallback,MARKDOWN_WRAPPER,4355.07,237,180,13900.4,45010094fdee76ac9623565533ffc96cfae19e398728a4d998d2c82f51d8cf6a,45a11bcb0f86d0f557a975ad11d0ca43eaa9c9dd7087bb486a5bb253d035126a,False
local-robustness-customer-no-citation-canonical-json,customer-no-citation,canonical-json,customer,8198,safe-fallback,MARKDOWN_WRAPPER,2070.65,175,86,13889.76,1e09bbfe2eb23ba8a2a78bdd14726b0020f511872b7b38a5f7df571a61dfa3d8,81dbe897cae0b389f37ab0c02cc3371daabf8b809aa8f8a8809e726a231fdd68,False
local-robustness-customer-no-citation-reordered-json,customer-no-citation,reordered-json,customer,8199,safe-fallback,MARKDOWN_WRAPPER,1899.62,178,79,13890.12,49c4bc0d66cb9bf7b7b27893e459bb7a2be7181aeffac78356de17f216a92f40,a73e0ac73ce624d9ee210e9619858e6d305ee96f505307a70405e1632dfbf477,False
local-robustness-customer-no-citation-untrusted-note,customer-no-citation,untrusted-note,customer,8200,safe-fallback,MARKDOWN_WRAPPER,2228.59,202,92,13894.79,8eafc54f72dd2cc93f4bf2e8a724bb167f3a717289a8d4d17fc6f76742bb5bf9,cf55e422af7572bcb1dc9fd095bb055da9260760d73466195a58936d36646dbd,False
local-robustness-admin-decimal-canonical-json,admin-decimal,canonical-json,admin,8201,safe-fallback,MARKDOWN_WRAPPER,3346.58,210,138,13895.82,c0644011ce9e7c615364e51ea2059fb2ce998c90e918f62a3572c768f8158a90,e374b350184fa82da1048b5bec27e52492ed5eb2331fcf1d7573e1f1b08b095b,False
local-robustness-admin-decimal-reordered-json,admin-decimal,reordered-json,admin,8202,safe-fallback,MARKDOWN_WRAPPER,2690.05,213,111,13896.21,648e35aeab37bbf6399d7b01805b988773493330da19f37458192caad1a89b06,adc97ee50a1d78d54a9ab47bc02f7a4965f7ad239eef2ba75e89e3ea69c4ec42,False
local-robustness-admin-decimal-untrusted-note,admin-decimal,untrusted-note,admin,8203,safe-fallback,MARKDOWN_WRAPPER,4317.95,227,178,13898.56,c9fb5896571f3e76bf3fd041c99db0a9094c70a442f29cb2ee8f4cc60204b495,17b5ae3341edf59290c46eb0f6b49448a3f5c0aabc81094c2d5f27146a58744c,False
