providerId,providerMode,protocol,model,promptVersion,taskCount,passedCount,fallbackCount,unsafeDisplayCount,firstAttemptPassRate,evidenceArtifact
AX,MOCK,MOCK,ax-mock-contract-v1,explanation-ko-v1.1.0,12,12,0,0,1,domestic-ai-api-smoke-mock-latest.json
EXAONE,MOCK,MOCK,exaone-mock-contract-v1,explanation-ko-v1.1.0,12,12,0,0,1,domestic-ai-api-smoke-mock-latest.json
EXAONE,LIVE,OPENAI_CHAT_COMPLETIONS,LGAI-EXAONE/K-EXAONE-236B-A23B,explanation-ko-v1.1.0,12,12,0,0,1,domestic-ai-api-smoke-latest.json
