taskId,baseCaseId,variant,role,seed,status,validationCode,generationMs,inputTokens,outputTokens,peakMemoryMiB,promptInputSha256,outputSha256,displayApproved
local-robustness-admin-plan-canonical-json,admin-plan,canonical-json,admin,8174,passed,PASS,4024.17,441,141,13939.17,13c3b1d4bca87335a903b7d224e8f28970dc1a25f580c831d6a0e8a9b3da65a6,3779d6e0d991a297a7fadb12759e89533db3d44b8d033f6ebe93e744412f4127,True
local-robustness-admin-plan-reordered-json,admin-plan,reordered-json,admin,8175,passed,PASS,3503.12,441,144,13939.11,a6a3953fea5d24dd22553b110f3094c005e1e0cf485bc52c1a919f7e64cba822,eecf617bd49a7e456d80e2ffbfd93ce5acdb7513812bcd89b8ed9ee6fd489819,True
local-robustness-admin-plan-untrusted-note,admin-plan,untrusted-note,admin,8176,passed,PASS,3427.94,476,141,13947.27,9e64ff2dd9810e78de812e7a132d75269a8944c29e0569ee1f453c41b6130d60,3779d6e0d991a297a7fadb12759e89533db3d44b8d033f6ebe93e744412f4127,True
local-robustness-courier-source-canonical-json,courier-source,canonical-json,courier,8177,passed,PASS,3435.76,440,142,13939.0,20215435c3a50dc189f46af897ef34d2fbe6360add759c7a0a5f7c32bb011fae,2f15f7c338755821f80da38c9403fed5abd4a6333704584bb75bd7711cc88d4c,True
local-robustness-courier-source-reordered-json,courier-source,reordered-json,courier,8178,passed,PASS,3158.79,440,131,13939.0,a733b75b55d4c4998c5a0d46973efa45d048eb512baf0a7fb5cbd3d64fd3ad73,8ef955e0e71a512dccbfc38a95d262f07265663eab8c7c468b98a294c8af76a0,True
local-robustness-courier-source-untrusted-note,courier-source,untrusted-note,courier,8179,safe-fallback,DISPLAY_VALUE_OMISSION,3490.98,475,144,13947.15,baa3eb19b0a0a0deccb4ac88931afec42e46a897b39ba7e12d47de5ddd0a6f47,7b649ff95a485bba12c812be26901c8cd5985bf7872c5f8df86d4d5fc41166d3,False
local-robustness-courier-recipient-canonical-json,courier-recipient,canonical-json,courier,8180,safe-fallback,DISPLAY_VALUE_OMISSION,3349.43,438,138,13938.78,2bb792c53ab9581b0ab5a4b6ed43ddd974010e6a5b6acfc64169a0b2767e9bfd,2cdb493ffada36914a5fcf8147b2f32468383ea2e13273630c089425ccd57237,False
local-robustness-courier-recipient-reordered-json,courier-recipient,reordered-json,courier,8181,safe-fallback,DISPLAY_VALUE_OMISSION,3455.86,438,143,13938.77,8395532f4333f98da4401bbf60e0b3e50e1cabfa32f6dedad7f46fde557df082,186405ac9bd427a7a9cf8fec76a56d0e26d7d20651256a89367329b88c06a1f0,False
local-robustness-courier-recipient-untrusted-note,courier-recipient,untrusted-note,courier,8182,safe-fallback,DISPLAY_VALUE_OMISSION,3339.6,473,138,13946.91,6e3cd382c9103e5e6cd78cce72ab541d014cc830dfd5d39e20d32f26fe3e598d,2cdb493ffada36914a5fcf8147b2f32468383ea2e13273630c089425ccd57237,False
local-robustness-customer-eta-canonical-json,customer-eta,canonical-json,customer,8183,passed,PASS,1786.07,327,74,13917.99,ab01abda11adfac8ef8513f031cef9ef4174ac9ec5e747172423112325f31468,62ba527dff9f2ffa1e7d380e7f70566ce283ea2050e1c9a02bb8023a64f07321,True
local-robustness-customer-eta-reordered-json,customer-eta,reordered-json,customer,8184,passed,PASS,1789.46,327,74,13917.99,421c83a23eb27595441419b8bda89a8878b5f68c3dcf467be7dccfc466b957d3,6c1817e349dc5709df16829353f8ca54127592596dd82b30dff828eacfeddd00,True
local-robustness-customer-eta-untrusted-note,customer-eta,untrusted-note,customer,8185,passed,PASS,1807.74,362,74,13924.88,d07042e05df4a6b18d2abd9464b1e7c5b585f9ef71272c3221820b5c8926acb0,62ba527dff9f2ffa1e7d380e7f70566ce283ea2050e1c9a02bb8023a64f07321,True
local-robustness-report-summary-canonical-json,report-summary,canonical-json,report,8186,passed,PASS,2528.95,376,104,13927.01,2ba24684d0138843b373a1957c69482b40999e6e0bd1e1991a6cf05579b868db,0788b651b00be0c849a8aad205ff4949f844ebe5244903ee8c7b6ed87b80c146,True
