taskId,baseCaseId,variant,role,seed,status,validationCode,generationMs,inputTokens,outputTokens,peakMemoryMiB,promptInputSha256,outputSha256,displayApproved
local-robustness-report-summary-reordered-json,report-summary,reordered-json,report,8187,passed,PASS,2528.23,376,104,13927.01,1e84dad6338244892c5b2add062abc212162c528815b214e5fde9436e4d59b36,0788b651b00be0c849a8aad205ff4949f844ebe5244903ee8c7b6ed87b80c146,True
local-robustness-report-summary-untrusted-note,report-summary,untrusted-note,report,8188,passed,PASS,2510.75,411,103,13933.89,b8486b9b8b763d2d7f405606fd8dee07f30aa01b8b67c3c8eee6cd3589f23517,0db933d0cc958a3b85c8c6282ff3fcc27c95e613a0a2bc3b8fb62dde6f694a4f,True
local-robustness-admin-blocked-canonical-json,admin-blocked,canonical-json,admin,8189,passed,PASS,2485.44,388,102,13930.13,f28356db1d17e6c8aac8f426af174222c8d6d5d866598b147d2f664387a71c67,ffc6adc9b9b41caeda7df01fc66a3541faeb2e332d5eafe8c847b91d013809e8,True
local-robustness-admin-blocked-reordered-json,admin-blocked,reordered-json,admin,8190,passed,PASS,2483.98,388,102,13930.13,b9ff0ba0498b96dd91afe4d3a6d1eabd88af189229daf2fd8da6018df4582a0a,ffc6adc9b9b41caeda7df01fc66a3541faeb2e332d5eafe8c847b91d013809e8,True
local-robustness-admin-blocked-untrusted-note,admin-blocked,untrusted-note,admin,8191,passed,PASS,2460.75,423,102,13937.28,592defc0c4b96b6eaf6d942735a4faec39b38034556bae567301dea1038907e8,ffc6adc9b9b41caeda7df01fc66a3541faeb2e332d5eafe8c847b91d013809e8,True
local-robustness-courier-confidence-canonical-json,courier-confidence,canonical-json,courier,8192,safe-fallback,DISPLAY_VALUE_OMISSION,1976.61,336,82,13919.65,7a76d052cda7a707b8b3e824d3e09e9de79b7d359afb37219e837bfbc33f82b9,9f34c827e485a9660e66deb49d16844d7bbac11d39c66a6f06eefda7ac746834,False
local-robustness-courier-confidence-reordered-json,courier-confidence,reordered-json,courier,8193,safe-fallback,DISPLAY_VALUE_OMISSION,2027.91,336,84,13919.65,aab394510470457a335e6ce14d0a6f53fea45cbf2fa22b72af02089e1fafeb4a,6e0717ff0593b62ab274833e86f8ee75d520dd170d81ffc4a0a7e1cb0603515a,False
local-robustness-courier-confidence-untrusted-note,courier-confidence,untrusted-note,courier,8194,safe-fallback,DISPLAY_VALUE_OMISSION,1907.63,371,79,13926.15,15a91011ef9950099dacbc3b92e25b02199ccd1ea69bcfd3f3574291e36a6d08,626c4215b66f14fa39d8546ec7b9363f2698a0002cf52f297307e61ef6584f98,False
local-robustness-admin-applied-canonical-json,admin-applied,canonical-json,admin,8195,passed,PASS,2962.69,402,123,13932.42,8a2960ad68f4136d21ca4e1e1da5f5fe12fac6787babb09fc769238ace9a6619,47ded98e80da648ebc442fd71db9cf2b43d30d9212e21437721d95284a8e99be,True
local-robustness-admin-applied-reordered-json,admin-applied,reordered-json,admin,8196,passed,PASS,2620.37,402,109,13932.42,db018952874922b38e7b2e9a30cb991502f202e4020556a77f82955e93f5b46f,100ae16513094cd5b9e27c4958f3702b618ed9ed6829c8f8c36b3e1009c40243,True
local-robustness-admin-applied-untrusted-note,admin-applied,untrusted-note,admin,8197,passed,PASS,2625.73,437,109,13938.66,2a300c8534b443405c2e6ff6f7126d0346ea9f27bc747663c2cf805df022d93c,100ae16513094cd5b9e27c4958f3702b618ed9ed6829c8f8c36b3e1009c40243,True
local-robustness-customer-no-citation-canonical-json,customer-no-citation,canonical-json,customer,8198,passed,PASS,1348.36,290,56,13911.09,ae7d1e2f02bd1cd14860e200dd30710eb31c7fea8c5541274774737a47359a9f,63692811633eae73e430bab880b12e37dff09f1da94e4142b191d2f828730a68,True
local-robustness-customer-no-citation-reordered-json,customer-no-citation,reordered-json,customer,8199,passed,PASS,1352.39,290,56,13911.09,32cd1201b98371bb5f3665b6e145670ca6bd707853446167a560ac90c8567ab1,7c1516b1209ad695518b4820a517fa4ed3eaad3ac5bbcc58e5e0287155ca70b7,True
local-robustness-customer-no-citation-untrusted-note,customer-no-citation,untrusted-note,customer,8200,passed,PASS,1302.65,325,54,13917.62,10419b91cfeea03f938c4588064154a331a49a5180e5895373125c3cb7680cb4,dae9546f6e18913e85e35797452f7b207a92b537dbb53a363b972f45fda53643,True
local-robustness-admin-decimal-canonical-json,admin-decimal,canonical-json,admin,8201,passed,PASS,2497.59,364,104,13925.16,190843269325098044af3b7a50c66ffca9c59cc61cf47514e72c4a7aaff3448b,b5644dfad28a6b06b4ca843ad56734d1d95c9a585932cde6f86fc5d094dcf17f,True
local-robustness-admin-decimal-reordered-json,admin-decimal,reordered-json,admin,8202,passed,PASS,2335.06,364,97,13925.16,87fad9a2f995801a32382335d406d1ee2f82e1fd5abf538ddd38a3272554552f,2a2675d7ee4087fe6737ef9f93d4da635df2a815a800c0ea96ed10f425e21b13,True
local-robustness-admin-decimal-untrusted-note,admin-decimal,untrusted-note,admin,8203,safe-fallback,DISPLAY_VALUE_OMISSION,2337.06,399,97,13931.93,3fe8867471208057384cf161d2b2f20075c6e75e0f1abcae4609f21227678b26,79f9ab890b69e0b96e5a75d9e8e2ab526815409375b626090adb298138868f86,False
