runId,split,promptVersion,passed,taskCount,passRate,fallback,unsafeDisplayCount,injectionPassed,injectionCases,averageGenerationMs,p95GenerationMs,maxPeakMemoryMiB,deliveryWorkSheet,shiftRoster,routeStopManifest,safetyReport,fallbackCodes,resultSha256
development-v1.0.0,development,local-operations-extract-ko-v1.0.0,0,60,0.0,60,0,0,3,9644.07,11104.52,14083.01,0/15,0/15,0/15,0/15,"{""CITATION_VALUE_MISMATCH"": 2, ""MARKDOWN_WRAPPER"": 50, ""SCHEMA_MISMATCH"": 8}",0dcc7762b581dd642026fc7b26aaa28a3f28b6b8f67908b26d17d87e17e27550
development-v1.1.0,development,local-operations-extract-ko-v1.1.0,28,60,0.4667,32,0,0,3,8667.49,10946.66,14176.36,0/15,15/15,13/15,0/15,"{""CONTRACT_INTEGRITY_FAILURE"": 2, ""MALFORMED_JSON"": 15, ""SCHEMA_MISMATCH"": 15}",7fd55556990785b655a56298dd2cab4b5ce62218f63a262df0eb1c5ed1c0f4b5
development-v1.2.0,development,local-operations-extract-ko-v1.2.0,33,60,0.55,27,0,3,3,8079.02,9672.51,14191.88,0/15,15/15,3/15,15/15,"{""CITATION_NOT_IN_SOURCE"": 12, ""MALFORMED_JSON"": 15}",fe8271700a29bf93f6db182c4d75428cbc7667517d87b5b37089628c6ebdf702
development-v1.3.0,development,local-operations-extract-ko-v1.3.0,35,60,0.5833,25,0,3,3,9134.64,12455.11,14180.98,5/15,15/15,0/15,15/15,"{""MALFORMED_JSON"": 10, ""MARKDOWN_WRAPPER"": 15}",a18d735b0f60420994001631e0767975a6a31c18be40ef2807de0329d34dd99e
validation-v1.4.0,validation,local-operations-extract-ko-v1.4.0,15,20,0.75,5,0,1,1,8772.28,10945.41,14180.14,2/5,5/5,3/5,5/5,"{""MALFORMED_JSON"": 3, ""SCHEMA_MISMATCH"": 2}",36006e1bccfca7f5be7be52312b967ad955768ff137e34c27a12315ef17f297e
frozen-v1.4.0,frozen-test,local-operations-extract-ko-v1.4.0,17,20,0.85,3,0,0,1,8856.71,10961.42,14180.98,3/5,5/5,5/5,4/5,"{""CITATION_VALUE_MISMATCH"": 1, ""MALFORMED_JSON"": 2}",7c7306d94e7eec05b50808ba0b95a51c52fab37764911e7b1705aa889c4ea8a9
