fixtureId,candidateId,actionKinds,feasibility,rank,baselineMinimumBudget,candidateMinimumBudget,safetyGain,breachOutcome,etaDeltaMinutes,maxCustomerEtaDeltaMinutes,recipientMinimumBudget,recommendationScore,reasonCodes
scenario-rain-hill-longshift-v1,candidate-fde4c58d,REST|TRANSFER_STOPS,FEASIBLE,1,29.914456,47.186417,17.271961,AVOIDED,-15,10,45.012761,10.09348,CONSENT_REQUIRED_BEFORE_APPLY
scenario-rain-hill-longshift-v1,candidate-aa4fb68f,TRANSFER_STOPS,FEASIBLE,2,29.914456,41.817875,11.903419,AVOIDED,-25,0,45.012761,3.14591,CONSENT_REQUIRED_BEFORE_APPLY
scenario-rain-hill-longshift-v1,candidate-3d62b91a,REST,FEASIBLE,3,29.914456,36.420011,6.505555,AVOIDED,10,10,,-2.657408,CONSENT_REQUIRED_BEFORE_APPLY
scenario-rain-hill-longshift-v1,candidate-ceb41eb7,TRANSFER_STOPS,INFEASIBLE,,29.914456,47.750764,17.836308,AVOIDED,-37,0,40.566386,,TRANSFER_RECIPIENT_BUDGET_BELOW_FLOOR
scenario-heat-heavy-stairs-v1,candidate-d6d75eca,REST,FEASIBLE,1,29.9278,39.5903,9.6625,AVOIDED,15,15,,1.354167,CONSENT_REQUIRED_BEFORE_APPLY
scenario-heat-heavy-stairs-v1,candidate-4b8ba971,SAFE_DELAY,FEASIBLE,2,29.9278,33.863225,3.935425,AVOIDED,9,43,,-0.690958,CONSENT_REQUIRED_BEFORE_APPLY
scenario-night-novice-area-v1,candidate-30541b47,SAFER_ROUTE,FEASIBLE,1,29.970894,30.193571,0.222677,AVOIDED,2,2,,-11.628872,CONSENT_REQUIRED_BEFORE_APPLY
scenario-night-novice-area-v1,candidate-a96a0103,REORDER_STOPS,FEASIBLE,2,29.970894,30.023044,0.05215,AVOIDED,0,6,,-11.413083,CONSENT_REQUIRED_BEFORE_APPLY
